target,precision,recall,f1-score,TP,FP,FN,TN,Selected_features,Lags,Dataset,File_name,Execution_time,FS_size
C,0.25,1.0,0.4,1,3,0,3,8,5,SynthNonlin/7ts2h,data_0.csv,0.0,4
H,0.5,1.0,0.6666666666666666,2,2,0,3,8,5,SynthNonlin/7ts2h,data_0.csv,0.0,4
D,0.5,1.0,0.6666666666666666,2,2,0,3,8,5,SynthNonlin/7ts2h,data_0.csv,0.0009987354278564453,4
A,0.6666666666666666,1.0,0.8,2,1,0,4,8,5,SynthNonlin/7ts2h,data_0.csv,0.0,3
E,0.3333333333333333,1.0,0.5,2,4,0,1,9,5,SynthNonlin/7ts2h,data_0.csv,0.0,6
B,0.2,0.5,0.28571428571428575,1,4,1,1,9,5,SynthNonlin/7ts2h,data_0.csv,0.0,5
F,0.3333333333333333,1.0,0.5,2,4,0,1,9,5,SynthNonlin/7ts2h,data_0.csv,0.0,6
C,0.2,1.0,0.33333333333333337,1,4,0,2,9,5,SynthNonlin/7ts2h,data_0.csv,0.0,5
H,0.4,1.0,0.5714285714285715,2,3,0,2,9,5,SynthNonlin/7ts2h,data_0.csv,0.0010256767272949219,5
D,0.5,1.0,0.6666666666666666,2,2,0,3,9,5,SynthNonlin/7ts2h,data_0.csv,0.0,4
A,0.5,1.0,0.6666666666666666,2,2,0,3,9,5,SynthNonlin/7ts2h,data_0.csv,0.0,4
E,0.3333333333333333,1.0,0.5,2,4,0,1,10,5,SynthNonlin/7ts2h,data_0.csv,0.0,6
B,0.2,0.5,0.28571428571428575,1,4,1,1,10,5,SynthNonlin/7ts2h,data_0.csv,0.0,5
F,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,10,5,SynthNonlin/7ts2h,data_0.csv,0.0010044574737548828,7
C,0.2,1.0,0.33333333333333337,1,4,0,2,10,5,SynthNonlin/7ts2h,data_0.csv,0.0,5
H,0.4,1.0,0.5714285714285715,2,3,0,2,10,5,SynthNonlin/7ts2h,data_0.csv,0.0,5
D,0.5,1.0,0.6666666666666666,2,2,0,3,10,5,SynthNonlin/7ts2h,data_0.csv,0.0,4
A,0.5,1.0,0.6666666666666666,2,2,0,3,10,5,SynthNonlin/7ts2h,data_0.csv,0.0,4
E,0.3333333333333333,1.0,0.5,2,4,0,1,11,5,SynthNonlin/7ts2h,data_0.csv,0.0,6
B,0.16666666666666666,0.5,0.25,1,5,1,0,11,5,SynthNonlin/7ts2h,data_0.csv,0.0009605884552001953,6
F,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,11,5,SynthNonlin/7ts2h,data_0.csv,0.0,7
C,0.16666666666666666,1.0,0.2857142857142857,1,5,0,1,11,5,SynthNonlin/7ts2h,data_0.csv,0.0,6
H,0.4,1.0,0.5714285714285715,2,3,0,2,11,5,SynthNonlin/7ts2h,data_0.csv,0.0,5
D,0.4,1.0,0.5714285714285715,2,3,0,2,11,5,SynthNonlin/7ts2h,data_0.csv,0.0,5
A,0.4,1.0,0.5714285714285715,2,3,0,2,11,5,SynthNonlin/7ts2h,data_0.csv,0.0010340213775634766,5
E,0.3333333333333333,1.0,0.5,2,4,0,1,12,5,SynthNonlin/7ts2h,data_0.csv,0.0,6
B,0.16666666666666666,0.5,0.25,1,5,1,0,12,5,SynthNonlin/7ts2h,data_0.csv,0.0,6
F,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,12,5,SynthNonlin/7ts2h,data_0.csv,0.0,7
C,0.16666666666666666,1.0,0.2857142857142857,1,5,0,1,12,5,SynthNonlin/7ts2h,data_0.csv,0.0,6
H,0.4,1.0,0.5714285714285715,2,3,0,2,12,5,SynthNonlin/7ts2h,data_0.csv,0.0,5
D,0.3333333333333333,1.0,0.5,2,4,0,1,12,5,SynthNonlin/7ts2h,data_0.csv,0.0009970664978027344,6
A,0.4,1.0,0.5714285714285715,2,3,0,2,12,5,SynthNonlin/7ts2h,data_0.csv,0.0,5
E,0.3333333333333333,1.0,0.5,2,4,0,1,13,5,SynthNonlin/7ts2h,data_0.csv,0.0,6
B,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,13,5,SynthNonlin/7ts2h,data_0.csv,0.0,7
F,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,13,5,SynthNonlin/7ts2h,data_0.csv,0.0,7
C,0.16666666666666666,1.0,0.2857142857142857,1,5,0,1,13,5,SynthNonlin/7ts2h,data_0.csv,0.000997304916381836,6
H,0.4,1.0,0.5714285714285715,2,3,0,2,13,5,SynthNonlin/7ts2h,data_0.csv,0.0,5
D,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,13,5,SynthNonlin/7ts2h,data_0.csv,0.0,7
A,0.3333333333333333,1.0,0.5,2,4,0,1,13,5,SynthNonlin/7ts2h,data_0.csv,0.0,6
E,0.3333333333333333,1.0,0.5,2,4,0,1,14,5,SynthNonlin/7ts2h,data_0.csv,0.0,6
B,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,14,5,SynthNonlin/7ts2h,data_0.csv,0.0,7
F,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,14,5,SynthNonlin/7ts2h,data_0.csv,0.0009975433349609375,7
C,0.16666666666666666,1.0,0.2857142857142857,1,5,0,1,14,5,SynthNonlin/7ts2h,data_0.csv,0.0,6
H,0.4,1.0,0.5714285714285715,2,3,0,2,14,5,SynthNonlin/7ts2h,data_0.csv,0.0,5
D,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,14,5,SynthNonlin/7ts2h,data_0.csv,0.0,7
A,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,14,5,SynthNonlin/7ts2h,data_0.csv,0.0,7
E,0.3333333333333333,1.0,0.5,2,4,0,1,15,5,SynthNonlin/7ts2h,data_0.csv,0.0010006427764892578,6
B,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,15,5,SynthNonlin/7ts2h,data_0.csv,0.0,7
F,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,15,5,SynthNonlin/7ts2h,data_0.csv,0.0,7
C,0.16666666666666666,1.0,0.2857142857142857,1,5,0,1,15,5,SynthNonlin/7ts2h,data_0.csv,0.0,6
